Total Park Space,Brooklyn,Manhattan,Bronx,Staten Island,Queens,,,,,
30847.5342,4857,2872,7225,7664,8228,sumof parts:,,,,
"194,016","45,325","14,611",26880,37440,"69,760","194,016",,,,
16%,10.71594043,19.65642324,26.87872024,20.47008547,11.79472477,,,,,
,,,,,,,,,,
,,,,,,,,,,
Total:,,,,,Recreational:,,,,,
,,,,,,,,,Difference:,% difference
7225.151366,,,,Bronx ,,X    ,6342.478366,,882.673,12.22%
4857.161,,,,Brooklyn,,B    ,3786.763,,1070.398,22.04%
2872.167,,,,Manhattan        ,,M   ,2775.951,,96.216,3.35%
8228.979834,,,,Queens           ,,Q    ,6422.674854,,1806.30498,21.95%
7664.075,,,,Staten Island   ,,R    ,5693.17,,1970.905,25.72%
,,,,,,,,,,
30847.5342,,,,,,,,,,
,,,,,recreational acreage,25021.03722,Sqft:,1089916381,sq ft per capita,123.7951908
,,,,,,,population:,"8,804,190",,
,,,,,0.188880477,5826.49698,,,,
,,,,,,,,,normal,146